ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
1665,0.2,0.16,0.24,3.77,38,42,Acetone 5 ppm
1666,0.2,0.16,0.24,3.76,38,42,Acetone 5 ppm
1667,0.21,0.16,0.24,3.75,38,42,Acetone 5 ppm
1668,0.23,0.16,0.24,3.73,38,42,Acetone 5 ppm
1669,0.24,0.16,0.24,3.72,38,42,Acetone 5 ppm
1670,0.24,0.16,0.24,3.71,38,42,Acetone 5 ppm
1671,0.25,0.16,0.24,3.7,38,42,Acetone 5 ppm
1672,0.24,0.16,0.24,3.69,38,42,Acetone 5 ppm
1673,0.22,0.16,0.24,3.68,38,42,Acetone 5 ppm
1674,0.21,0.16,0.24,3.67,38,42,Acetone 5 ppm
1675,0.2,0.16,0.24,3.65,38,42,Acetone 5 ppm
1676,0.2,0.16,0.24,3.63,38,42,Acetone 5 ppm
1677,0.2,0.16,0.24,3.61,38,42,Acetone 5 ppm
1678,0.19,0.16,0.24,3.59,38,42,Acetone 5 ppm
1679,0.17,0.16,0.24,3.57,38,42,Acetone 5 ppm
1680,0.17,0.16,0.24,3.54,38,42,Acetone 5 ppm
